Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
mult/1/100,3.507092033263859e-2,3.5023023104237216e-2,3.511677116165237e-2,9.705839767622723e-5,7.475398111823247e-5,1.2674766767977347e-4
mult/1/200,0.2872779744945635,0.285516020832051,0.28934318633168227,2.3077277539999426e-3,1.1055727347671599e-3,3.1608646172246735e-3
mult/1/300,1.0715379451070237,1.068422234483302,1.0740880649835223,4.017715795598144e-3,0.0,4.416937191486644e-3
mult/1/400,2.782103418135028,2.7774809762251693,2.7845416345142286,4.021240784581846e-3,5.438959822042073e-16,4.223114648622142e-3
mult/1/500,5.920043116190236,5.84978137986273,5.956851544310937,6.105621639521555e-2,0.0,6.375406765180164e-2
mult/1/600,9.59675235210735,9.460668612483284,9.704175496188183,0.16687435695715688,0.0,0.18606234345679826
mult/1/700,16.46727203002409,16.410043995483775,16.511493267938032,6.818030492028666e-2,0.0,7.659343084053129e-2
mult/1/800,23.77352968032946,22.393218712612548,24.509387892508784,1.2032216878378816,0.0,1.2745438106613831
mult/1/900,38.54162360196858,37.94651968981707,38.84418855215045,0.5155944827892284,0.0,0.5240578663045451
mult/1/1000,51.518386859079264,50.222657307862484,52.4340567048669,1.3800950340269178,0.0,1.5859866958629556
mult/2/100,1.9622713695911245e-2,1.9572985677375233e-2,1.973585694811554e-2,1.5853421101583623e-4,6.033117209924681e-5,3.090938232622932e-4
mult/2/200,0.15302841705067818,0.15260316692006506,0.1535692005082225,6.625042194786714e-4,4.5101463050160136e-4,8.340737087818624e-4
mult/2/300,0.5502923529684636,0.544213697725545,0.5545090753323524,6.339468636029605e-3,0.0,7.30357737566743e-3
mult/2/400,1.4558030172463141,1.398931670150711,1.4902616107712447,5.246182112555288e-2,0.0,5.968403474254341e-2
mult/2/500,2.860930625635104,2.4580020132254594,3.1060316331809745,0.37269431892520455,0.0,0.42452739805577144
mult/2/600,5.485494778134921,5.346633036862482,5.607118388119738,0.19743017945164104,0.0,0.21065827189364636
mult/2/700,8.430285734412728,8.024201945225478,8.74812829995841,0.49223041285548974,0.0,0.5505194723331603
mult/2/800,13.401504715135552,13.241299856817454,13.559777588438322,0.2724789212217694,0.0,0.27413665802030757
mult/2/900,17.35019871324664,16.00440537115065,18.190833919817553,1.2694864065506104,0.0,1.4560228884119806
mult/2/1000,27.131172638496015,26.67250589061278,27.48970920386694,0.5549978119686596,4.351167857633658e-15,0.6210035475936819
mult/3/100,7.231813373084383e-3,7.208319744522304e-3,7.2660868606721305e-3,7.802099185392769e-5,4.764126878573398e-5,1.260781088267816e-4
mult/3/200,5.041126347445856e-2,5.017635584921746e-2,5.100559246842643e-2,6.682288186456498e-4,2.28997320665927e-4,1.112366305395183e-3
mult/3/300,0.1777131351208391,0.17501022351669537,0.18075753817329843,3.8182958594215285e-3,2.3604675061624503e-3,5.589110435509181e-3
mult/3/400,0.5051817057460908,0.4935536517252421,0.5115151685544389,1.0190046720565768e-2,0.0,1.0969879371906752e-2
mult/3/500,1.1154483796350647,1.0717818958165843,1.1710067222258749,5.067004808350035e-2,0.0,5.728748023769778e-2
mult/3/600,2.1786475549684297,2.162830475816742,2.192957510937966,2.3588941927881826e-2,0.0,2.478557079331047e-2
mult/3/700,3.4546056914689025,3.0418193238634603,3.8076263600897398,0.5668253811337779,0.0,0.6114497341732257
mult/3/800,5.308942054023936,5.232340342483567,5.3517611131502605,6.770963086808512e-2,0.0,7.416478593909001e-2
mult/3/900,8.29453160202369,7.526280473862794,8.690817809977558,0.6663244542076425,0.0,0.686387846514904
mult/3/1000,10.857920627552213,10.212861365817668,11.214527897855087,0.5679151855230342,0.0,0.6176619105130243
mult/4/100,6.003865468615109e-3,5.993297793898965e-3,6.01497658972887e-3,3.360858565653389e-5,2.4958729341956987e-5,4.751536085957295e-5
mult/4/200,4.37382749692414e-2,4.331494819525277e-2,4.501760295489879e-2,1.269852341620844e-3,3.784512849184366e-4,2.274666871918593e-3
mult/4/300,0.16043144388767075,0.15929072592136542,0.1611888629441314,1.3200249644559191e-3,7.546356886300701e-4,1.9122169254364373e-3
mult/4/400,0.46692884955204184,0.4656273312259236,0.4681686073478633,2.095885724337012e-3,0.0,2.1473234914424245e-3
mult/4/500,1.0987966411347532,1.0832358023622919,1.1111555254220324,1.924229313590528e-2,0.0,2.140621551043237e-2
mult/4/600,2.0887630525797416,2.068302621862681,2.1074418136757505,3.0925284874195276e-2,0.0,3.2352563240728265e-2
mult/4/700,3.8935278323846703,3.8699813266126557,3.9075712940884517,2.149914145356369e-2,0.0,2.432398918509779e-2
mult/4/800,5.3259324108298,5.306006857612925,5.339115126200915,1.9775813610756497e-2,0.0,2.2833132804489044e-2
mult/4/900,8.368253120384894,8.241495453112844,8.434513178952782,0.11011513416947143,0.0,0.11476578795207165
mult/4/1000,8.15970721946783,7.643234897862026,8.43136559711926,0.44908701538212703,0.0,0.4705261123940113
